user_id	url	timestamp_str	weight
3ab39e04127604d7b33640097d87bb62	sdk.beizi.biz	2025-05-20	2
3ab39e04127604d7b33640097d87bb62	[2408:874f:3001:b01::34]:8088	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	conn-service-cn-05.allawntech.com	2025-05-20	4
3ab39e04127604d7b33640097d87bb62	ws-p2p-v2.pull.yximgs.com	2025-05-20	13
3ab39e04127604d7b33640097d87bb62	[2409:8a20:aa0c:5b38:68f7:8f53:2494:2439]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a70:a02:7882:88b3:d019:c9b6:3cd6]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	finderd1p.video.qq.com	2025-05-20	4
3ab39e04127604d7b33640097d87bb62	wap.cmpassport.com	2025-05-20	6
3ab39e04127604d7b33640097d87bb62	p4.a.yximgs.com	2025-05-20	80
3ab39e04127604d7b33640097d87bb62	[2408:874f:3001:b01::30]:8088	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a00:a802:24ee:4198:52ec:dfca:fe87]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	apisnd.heytapmobi.com	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a62:9702:2c0c:e597:73b:d92e:13ce]:18800	2025-05-20	5
3ab39e04127604d7b33640097d87bb62	117.161.142.50	2025-05-20	7
3ab39e04127604d7b33640097d87bb62	[2409:8a14:607:3769:9161:6219:1595:7b1e]:18800	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a62:6e05:e5b8:d423:2a66:2086:4244]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a00:a802:24b9:1428:bf75:dccc:1967]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a70:fa03:e49:1486:a899:dcd2:ea03]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	isp-report.gifshow.com	2025-05-20	2
3ab39e04127604d7b33640097d87bb62	[2409:8a00:6c05:3f4:54:5a62:3255:b72]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	paydns.wechatpay.cn	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	dns.weixin.qq.com.cn	2025-05-20	12
3ab39e04127604d7b33640097d87bb62	[2409:8a00:a803:f21:f870:e1ff:ca7a:39ad]:60012	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2408:872f:d00:27::32]:50490	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[240e:33d:2467:f500:8ead:b9ff:fea5:7570]:62489	2025-05-20	2
3ab39e04127604d7b33640097d87bb62	120.219.109.166:58385	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2408:8738:2000:7:1::15]:21927	2025-05-20	2
3ab39e04127604d7b33640097d87bb62	[2409:8a28:4cf4:dcd:ded8:7c0f:4b23:9523]:20174	2025-05-20	3
3ab39e04127604d7b33640097d87bb62	[2409:8a28:26d1:b5e0::1]:20349	2025-05-20	2
3ab39e04127604d7b33640097d87bb62	[2409:8a14:604:842:d19f:f140:5596:668b]:18800	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	59.82.14.161	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	k0w2409x8c28x30b0x122xxfz.djlive.ndcimgs.com	2025-05-20	2
3ab39e04127604d7b33640097d87bb62	ali2.a.yximgs.com	2025-05-20	8
3ab39e04127604d7b33640097d87bb62	[2409:8a4c:ca01:5b56:d835:251e:2a8e:7531]:60037	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a34:4a01:23ac:2004:f34c:f845:f1e2]:35671	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8a70:9c0d:4d33:5dbe:473e:f15f:9359]:18800	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2408:8738:2000:7:1::18]:37692	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	hw2.a.kwimgs.com	2025-05-20	65
3ab39e04127604d7b33640097d87bb62	hwmov.a.kwimgs.com	2025-05-20	2
3ab39e04127604d7b33640097d87bb62	sdktmp.hubcloud.com.cn	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	[2409:8c50:ffff:2c8a::b]:60014	2025-05-20	1
3ab39e04127604d7b33640097d87bb62	k0u70y10yf7y21zw2409x8c28x30b0x122xx21z.djvod.ndcimgs.com	2025-05-20	9
3ab39e04127604d7b33640097d87bb62	[2409:8c4c:c00:1312:2c::]	2025-05-20	7
